User ID, Created,Combined household income,Age range,Gender, Device type, Region, Respondent ID,Q(1) What is the total value of your personal savings and investments?,Q(1) Comments [Question: What is the total value of your personal savings and investments?],Q(2) What does money mean for you and your business?,Q(2) Sentiment [Question: What does money mean for you and your business?],Q(3) What makes handling money easier for you?,Q(3) Sentiment [Question: What makes handling money easier for you?]
aJnWmj64B7Db,2025-03-17T13:50:39+00:00,$200;000+,38,Female,iOS,US,aJnWmj64B7Db,$100;001 – $500;000,,Being financially stable is a big deal to me.,0.00,Budgeting each month.,0.00
yxlRvyVezlRB,2025-03-17T13:51:03+00:00,$100;000 - $124;999,39,Female,iOS,US,yxlRvyVezlRB,Less than $100;000,,A lot,0.60,Keeping track of everything,0.80
JGnJ1Jredkbx,2025-03-17T13:51:15+00:00,$175;000 - $199;999,26,Female,iOS,US,JGnJ1Jredkbx,Less than $100;000,,Security and stability,0.40,Financial apps,0.00
rYkvwDrE6nmx,2025-03-17T13:53:04+00:00,$100;000 - $124;999,30,Male,iOS,US,rYkvwDrE6nmx,$100;001 – $500;000,,It’s something that helps us stay afloat regardless of who has the money.,0.80,I don’t typically spend it on things that I WANT,-0.40
v6n3x5DaMl3Z,2025-03-17T13:54:55+00:00,$200;000+,45,Female,iOS,US,v6n3x5DaMl3Z,$100;001 – $500;000,,A lot!,0.80,If I had the education to handle it better,-0.30
2OkaGJDdelam,2025-03-17T13:54:56+00:00,$100;000 - $124;999,35,Male,Android,US,2OkaGJDdelam,Less than $100;000,,Money means I can survive,0.20,Spreadsheets and budgets,0.00
gK7y65yXzkae,2025-03-17T13:54:59+00:00,$100;000 - $124;999,42,Female,iOS,US,gK7y65yXzkae,Less than $100;000,,It means a lot less stress.,0.90,Having a financial advisor really helps.,0.90
JGnJ1JbYjkbx,2025-03-17T13:55:00+00:00,$100;000 - $124;999,37,Male,iOS,US,JGnJ1JbYjkbx,$100;001 – $500;000,,Freedom,0.30,Software,0.00
WJkgB69LP7Pd,2025-03-17T13:55:07+00:00,$125;000 - $149;999,28,Male,iOS,US,WJkgB69LP7Pd,$100;001 – $500;000,,It means financial stability,0.30,Having a financial planner,0.30
eLnBqXRrxko8,2025-03-17T13:55:21+00:00,$100;000 - $124;999,39,Male,Android,US,eLnBqXRrxko8,Less than $100;000,,Opportunity,0.20,Apps,0.20
Zz7brYgxW7gY,2025-03-17T13:55:24+00:00,$200;000+,31,Female,iOS,US,Zz7brYgxW7gY,Less than $100;000,,It means security,0.10,Planning ahead,0.40
Ka76NRbwj7L1,2025-03-17T13:56:00+00:00,$175;000 - $199;999,30,Male,iOS,US,Ka76NRbwj7L1,$100;001 – $500;000,,Money is comfort and security to me. Knowing I have money in the bank gives me the confidence that I could afford an unexpected expense or I can comfortable buy the things I need.,0.90,Being able to see balances on my phone on various apps makes handling money easier for me. I can quickly view my accounts without having to wait for printed statement or calling a broker or bank.,0.90
RE7LZrAYpn0v,2025-03-17T13:56:34+00:00,$175;000 - $199;999,41,Female,iOS,US,RE7LZrAYpn0v,$100;001 – $500;000,,I do not have a business; but making money in investing money to me means not having to worry later in life and being able to retire and travel and live comfortably.,0.80,Direct deposits into the different accounts and using a budget tracker to visually see how you are spending.,0.00
JGnJ1JdGMkbx,2025-03-17T13:56:58+00:00,$125;000 - $149;999,36,Female,iOS,US,JGnJ1JdGMkbx,$100;001 – $500;000,,Security,0.30,Online banking,0.00
p0lOa5y20k8N,2025-03-17T13:57:18+00:00,$200;000+,45,Female,iOS,US,p0lOa5y20k8N,More than $500;001,,The future,0.50,Not spending it,-0.70
1GnjBQ4NqnDA,2025-03-17T13:57:21+00:00,$150;000 - $174;999,38,Male,Android,US,1GnjBQ4NqnDA,$100;001 – $500;000,,Looking forward to retirement; money is for saving so I can enjoy life after work,0.50,Having my wife help with financial decisions,0.50
MjnZPx2mj7wP,2025-03-17T13:57:22+00:00,$150;000 - $174;999,25,Male,iOS,US,MjnZPx2mj7wP,Less than $100;000,,No jeea,-0.30,Stop,-0.70
apkDdY69Dk3E,2025-03-17T13:57:25+00:00,$200;000+,38,Male,iOS,US,apkDdY69Dk3E,More than $500;001,,Flexibility,0.50,Systems,0.00
