User ID, Created,Age range,Gender, Device type, Region, Respondent ID,Q(1) What does money mean to you?,Q(1) Sentiment [Question: What does money mean to you?],Q(2) What makes managing your money easier?,Q(2) Sentiment [Question: What makes managing your money easier?],Q(3) What tricks help you make your money last?,Q(3) Sentiment [Question: What tricks help you make your money last?]
MJkGZRmAZ7bx,2025-03-12T03:07:53+00:00,25,Female,iOS,US,MJkGZRmAZ7bx,Freedom,0.30,Having a plan for each time I get paid; percentage splits etc,0.00,Don’t spend impulsly; think before buying,-0.60
rYkvw1ooEnmx,2025-03-12T03:11:08+00:00,22,Male,Android,US,rYkvw1ooEnmx,Everything,0.40,Apps,0.20,Staying home,0.00
Ka76NGm0Q7L1,2025-03-12T03:11:10+00:00,23,Female,iOS,US,Ka76NGm0Q7L1,Security,0.30,Spreadsheets and budgets,0.00,Haven’t developed any long standing ones yet,-0.30
XOlEjPrg37gp,2025-03-12T03:11:20+00:00,20,Female,iOS,US,XOlEjPrg37gp,Fame; food; rich,0.60,Saving it without spending,0.90,spend less,-0.10
WKn02w8p47vA,2025-03-12T03:11:19+00:00,27,Female,iOS,US,WKn02w8p47vA,Ill die with out it,-0.30,Starving,-0.70,Starving,-0.70
qwneobvvg75r,2025-03-12T03:11:21+00:00,27,Male,Android,US,qwneobvvg75r,A means to survive,0.00,Organizing applications,0.10,Coupons and investments,0.10
2OkaG6Rrplam,2025-03-12T03:11:21+00:00,22,Male,iOS,US,2OkaG6Rrplam,It’s a tool to shape your life,0.50,Apps,0.20,Thrifting,0.40
aXk4dMBXgkJW,2025-03-12T03:11:38+00:00,25,Female,iOS,US,aXk4dMBXgkJW,Success,0.80,Budget,0.00,More budgets,0.10
3gkxgVBm37Wq,2025-03-12T03:11:48+00:00,21,Female,iOS,US,3gkxgVBm37Wq,Privilege,0.60,banks,-0.10,making more,0.80
rYkvwAZAonmx,2025-03-12T03:11:55+00:00,27,Female,iOS,US,rYkvwAZAonmx,Freedom and security,0.50,Apps and notes,0.00,Not spending it!,-0.60
JGnJ1vXVrkbx,2025-03-12T03:11:57+00:00,22,Male,Android,US,JGnJ1vXVrkbx,A token exchangable for things in life; mostly material but also services.,0.10,Spreadsheets; breakdown sheets.,0.00,Stop counting it; keep my mind busy with other things.,-0.70
XOlEj5XXJ7gp,2025-03-12T03:11:57+00:00,26,Male,Android,US,XOlEj5XXJ7gp,It means buying,0.00,Apps,0.20,Pay in 4,0.00
3gkxg3Zb27Wq,2025-03-12T03:11:59+00:00,22,Female,Android,US,3gkxg3Zb27Wq,Being able to buy food and clothes,0.60,Telling myself to buy things I need,-0.30,Buy the cheaper items,-0.10
PLlXYReKd7pv,2025-03-12T03:12:12+00:00,27,Male,Android,US,PLlXYReKd7pv,A lot.,0.40,Spending less on fancy goods,0.10,Having multiple places to store it,0.60
aOkQRP2O3n4y,2025-03-12T03:12:24+00:00,26,Female,iOS,US,aOkQRP2O3n4y,Expensive,-0.80,Bank app,0.40,To set a budget,0.00
PLlXYyWqj7pv,2025-03-12T03:12:31+00:00,25,Female,iOS,US,PLlXYyWqj7pv,Money means freedom.,0.40,Budgeting and saving,0.60,Keep reminding myself I have no money so I don’t spend any.,-0.50
Ka76NRxjx7L1,2025-03-12T03:12:51+00:00,24,Male,Android,US,Ka76NRxjx7L1,Luxury things,0.80,My wallet,-0.10,Hide it,-0.20
Zz7brXg9p7gY,2025-03-12T03:13:12+00:00,21,Male,Android,US,Zz7brXg9p7gY,Means to an end,-0.50,Good online tools like spreadsheets.,0.70,Deals on food,0.30
wNko4PK6NnBL,2025-03-12T03:13:25+00:00,22,Male,iOS,US,wNko4PK6NnBL,happiness,0.90,saving it,0.20,saving,0.60
gK7y66Bzpkae,2025-03-12T03:13:26+00:00,20,Male,iOS,US,gK7y66Bzpkae,Good,0.80,Good,0.80,Good,0.80
3gkxNOOM2lWq,2025-03-12T03:13:28+00:00,26,Male,iOS,US,3gkxNOOM2lWq,None,-0.40,Yes,0.60,Yes,0.60
aJnWmovAA7Db,2025-03-12T03:13:28+00:00,24,Male,iOS,US,aJnWmovAA7Db,It’s good,0.80,Apps,0.20,Apps,0.20
gK7y6BWQGkae,2025-03-12T03:13:34+00:00,19,Female,Android,US,gK7y6BWQGkae,It means I can buy stuff,0.40,I don't know,-0.20,I don't know,-0.20
rYkvw3WKdnmx,2025-03-12T03:13:43+00:00,24,Female,iOS,US,rYkvw3WKdnmx,Independence,0.30,Financial advisor,0.10,Investing,0.10
Zz7br9Edj7gY,2025-03-12T03:13:42+00:00,23,Male,iOS,US,Zz7br9Edj7gY,It means a way to buy the work of others,0.20,But budgeting and setting goals for spending,0.00,By being more conscious of not buying unnecessary things,0.70
WKn02X6L67vA,2025-03-12T03:13:43+00:00,21,Female,iOS,US,WKn02X6L67vA,It means a way to live,0.30,Not spending it,-0.70,Saving,0.60
rYkvwAmmAnmx,2025-03-12T03:13:48+00:00,22,Female,iOS,US,rYkvwAmmAnmx,i’m not sure,-0.10,i’m not sure,-0.10,im not sure,-0.20
XQnwY3M5M7P2,2025-03-12T03:13:57+00:00,26,Male,iOS,US,XQnwY3M5M7P2,I’m not sure.,-0.10,I don’t know.,-0.20,I’m not sure.,-0.10
rYkvwJaWEnmx,2025-03-12T03:13:57+00:00,26,Male,iOS,US,rYkvwJaWEnmx,Basic human needs,-0.30,Budgeting,0.00,Saving and minimizing expenses,0.80
WJkgBm1Q17Pd,2025-03-12T03:13:57+00:00,27,Female,iOS,US,WJkgBm1Q17Pd,Getting what I want,0.60,Never thought of it,0.40,Not spending,-0.70
6KnNVQOYKnW2,2025-03-12T03:13:58+00:00,25,Female,iOS,US,6KnNVQOYKnW2,It is a means of survival,0.00,A budget helps incredibly,0.90,Looking for sales,0.00
eLnBqqXZrko8,2025-03-12T03:13:59+00:00,27,Male,Android,US,eLnBqqXZrko8,Surviv,0.30,More money,0.00,Being too tired to spend,-0.80
4N7MPD0zWljE,2025-03-12T03:13:59+00:00,21,Male,Android,US,4N7MPD0zWljE,It means a pathway to greatness or the route to evil.,0.30,Restricting my spendings,-0.70,Forcing myself to be stingy,-0.70
wNko4aODMnBL,2025-03-12T03:14:01+00:00,18,Female,iOS,US,wNko4aODMnBL,Money runs the world and everything we do,0.00,Apps and budgeting,0.00,Budgeting and making it difficult to spend money,-0.80
0xk2Wdg9YnAw,2025-03-12T03:14:06+00:00,27,Male,iOS,US,0xk2Wdg9YnAw,Its a need,0.30,Budgeting,0.00,No drinking alcohol,-0.60
Xgl5o9RzGk8Q,2025-03-12T03:14:09+00:00,20,Male,Android,US,Xgl5o9RzGk8Q,It is simply a means to get by in the world. Nothing more; nothing less,0.00,Recognizing that it takes time to earn it; and being practical about what I need,0.10,Managing a budget and not going out to eat all the time,0.30
J0nmrXx0plWr,2025-03-12T03:14:12+00:00,27,Female,iOS,US,J0nmrXx0plWr,To buy stuff,0.00,Dnt really have to manage my money,-0.50,Add to savings every month & dnt touch it,-0.20
4N7MPNv5gljE,2025-03-12T03:14:14+00:00,18,Male,Android,US,4N7MPNv5gljE,Alot,0.20,Barely using it,-0.80,Forget about the money,-0.70
JGnJ1VAaykbx,2025-03-12T03:14:16+00:00,27,Male,iOS,US,JGnJ1VAaykbx,It means I can get whatever I want and not have to worry about anything. It leads to happiness.,0.90,Regular budgeting and not overspending is the best way to manage your money,0.00,Only buying what you’d really Need and only buying Expensive items occasionally,0.30
p0lOarqWXk8N,2025-03-12T03:14:20+00:00,24,Male,iOS,US,p0lOarqWXk8N,It is a way to purchase things i need,0.70,Keeping track of expenses,0.50,Waiting atleast a day before buying something i want,-0.60
WJkgB9YxQ7Pd,2025-03-12T03:14:22+00:00,21,Male,Android,US,WJkgB9YxQ7Pd,Good,0.80,Yes,0.60,Yes,0.60
Ka76NEXW97L1,2025-03-12T03:14:29+00:00,23,Male,iOS,US,Ka76NEXW97L1,The substance that is used to make our world go round,0.10,Definitely writing out your expenses,0.80,Setting aside a limit,-0.10
Bp7PDjyPX72x,2025-03-12T03:14:30+00:00,25,Female,iOS,US,Bp7PDjyPX72x,Money means security - having money means I can be safe and healthy and be prepared for emergencies.,0.60,Having people around me who understand finance and can explain concepts to me; friends who are good with money so I’m not tempted by them to spend above my means,-0.50,DON’T EAT OUT.,-0.60
