User ID, Created,Ethnicity,Gender,Age range, Device type, Region, Respondent ID,Q(1) What does money mean to you?,Q(1) Sentiment [Question: What does money mean to you?],Q(2) What makes managing your money easier?,Q(2) Sentiment [Question: What makes managing your money easier?],Q(3) What tricks help you make your money last?,Q(3) Sentiment [Question: What tricks help you make your money last?]
MqkKdYzaAn91,2025-03-12T16:05:06+00:00,Hispanic/Latino,Female,25,Android,US,MqkKdYzaAn91,The price to live.,0.00,Writing down everything.,-0.50,Only buying consumables in bulk.,0.10
p6n1OJ8m17D2,2025-03-12T16:07:50+00:00,Hispanic/Latino,Female,46,iOS,US,p6n1OJ8m17D2,Good,0.80,Ok,0.70,Ok,0.70
WKn02841R7vA,2025-03-12T16:07:58+00:00,Hispanic/Latino,Male,20,iOS,US,WKn02841R7vA,It is survival,0.00,Excel,0.80,Don’t buy the things I want,-0.80
0xk2WLYGynAw,2025-03-12T16:08:10+00:00,Hispanic/Latino,Female,46,iOS,US,0xk2WLYGynAw,Security,0.30,Someone else doing it,-0.40,Have my husband deal with it,0.20
JGnJ1vXVrkbx,2025-03-12T16:08:20+00:00,Hispanic/Latino,Male,22,Android,US,JGnJ1vXVrkbx,A token to exchange for items and services.,0.00,Spreadsheets; budget breakdowns.,0.00,Keep myself busy with other things.,0.30
XQnwYvPRy7P2,2025-03-12T16:10:14+00:00,Hispanic/Latino,Male,21,iOS,US,XQnwYvPRy7P2,A means to provide,0.00,A savings goal,0.70,Limit entertainment expenses,-0.30
aOkQRx2V3n4y,2025-03-12T16:10:16+00:00,Hispanic/Latino,Male,22,iOS,US,aOkQRx2V3n4y,A means to an end,-0.40,Keeping tabs on what I need,0.60,Budgeting,0.00
1GnjBQdV9nDA,2025-03-12T16:10:21+00:00,Hispanic/Latino,Male,29,Android,US,1GnjBQdV9nDA,A necessary evil I guess. The world runs on it but it has the power to corrupt or make people happy,-0.60,Banking apps and keeping track of my expenses,0.50,I pay my bills first and make sure my necessities are covered before I even think about spending on hobbies,0.20
p0lOawXjqk8N,2025-03-12T16:10:27+00:00,Hispanic/Latino,Female,35,Android,US,p0lOawXjqk8N,Security; freedom; peace of mind.,0.80,Keeping a budget.,0.00,Avoid impulse spending,-0.50
wNko4Z8L2nBL,2025-03-12T16:10:29+00:00,Hispanic/Latino,Female,47,iOS,US,wNko4Z8L2nBL,Everything because it can solve problems,0.60,Being wise about how to save and spend,-0.20,Being smart,0.50
qwneWZaJ675r,2025-03-12T16:10:40+00:00,Hispanic/Latino,Male,31,iOS,US,qwneWZaJ675r,How to survive,0.00,Online banking and spreadsheet,-0.10,Not spending it,-0.70
J0nmpB146kWr,2025-03-12T16:10:51+00:00,Hispanic/Latino,Female,42,iOS,US,J0nmpB146kWr,Bills getting paid,-0.20,Don’t know,-0.40,Buying cheap,0.00
2OkaGNx5elam,2025-03-12T16:10:52+00:00,Hispanic/Latino,Female,74,iOS,US,2OkaGNx5elam,Security,0.30,Sticking to a plan bugged,-0.70,Frugal spending,-0.10
gK7y69Lopkae,2025-03-12T16:10:53+00:00,Hispanic/Latino,Male,42,Android,US,gK7y69Lopkae,Food,0.00,Having some to manage,0.10,Flipping it,0.30
WJkgBzzaL7Pd,2025-03-12T16:11:00+00:00,Hispanic/Latino,Male,40,Android,US,WJkgBzzaL7Pd,The medium of exchange people use for goods and services.,0.00,Digital banking and spreadsheets,0.10,Use credit before my bank account and buy cheaper items,0.00
6KnNyapQJkW2,2025-03-12T16:11:10+00:00,Hispanic/Latino,Female,25,iOS,US,6KnNyapQJkW2,something that allows my life to be easier and fun,0.90,budgeting,0.00,bringing lunch instead of buying,-0.20
2OkaG2R5Vlam,2025-03-12T16:11:10+00:00,Hispanic/Latino,Female,37,iOS,US,2OkaG2R5Vlam,A means of stress and survival,-0.10,Making sure I keep track of where it’s going,0.50,Making sure u just use it where I need to,0.30
JGnJ1a29Mkbx,2025-03-12T16:11:20+00:00,Hispanic/Latino,Male,52,iOS,US,JGnJ1a29Mkbx,a way to be able to get food and shelter,0.00,been able to use the money without wasting it,0.80,only spend on things that i need,0.50
P2nY2mJaAl90,2025-03-12T16:11:21+00:00,Hispanic/Latino,Female,40,iOS,US,P2nY2mJaAl90,Means stability,0.30,Apps to put money in the pocket,0.10,Reinvest money,0.60
aOkQbB5RXn4y,2025-03-12T16:11:30+00:00,Hispanic/Latino,Male,33,Android,US,aOkQbB5RXn4y,Access,0.00,Make more money,0.30,Spend less,-0.10
v6n3xGW5al3Z,2025-03-12T16:11:31+00:00,Hispanic/Latino,Male,41,Android,US,v6n3xGW5al3Z,Necessity in order to live and enjoy life,0.40,Only spending on  what I need and not what I want,-0.70,Having a savings account,0.60
WJkgB9qRZ7Pd,2025-03-12T16:11:51+00:00,Hispanic/Latino,Male,36,iOS,US,WJkgB9qRZ7Pd,A lot,0.60,It’s hard,-0.70,Saving,0.60
3gkxNR8JplWq,2025-03-12T16:11:52+00:00,Hispanic/Latino,Female,32,iOS,US,3gkxNR8JplWq,Surviving,0.00,Excell docs,0.00,Not going out,-0.70
MjnZP3BYX7wP,2025-03-12T16:12:11+00:00,Hispanic/Latino,Female,36,Android,US,MjnZP3BYX7wP,Money means survival and pleasure,0.50,Being on top of it and aware of how much I make so I don't overspend.,0.40,Being as cheap as possible; like in general not always with some products where being cheap makes it more expensive in the long run; like paper towels.,-0.70
Xgl5ovawok8Q,2025-03-12T16:12:11+00:00,Hispanic/Latino,Male,20,iOS,US,Xgl5ovawok8Q,Something necessary to get what I want.,0.20,Apps like OnePulse,0.20,Spend less and save more.,0.60
WKn024E6Y7vA,2025-03-12T16:12:51+00:00,Hispanic/Latino,Female,54,Android,US,WKn024E6Y7vA,Ability to pay for my needs and wants,0.30,Common sense,-0.20,Using tricks with recipes,-0.20
2vlzQ46jvnGp,2025-03-12T16:13:03+00:00,Hispanic/Latino,Male,45,iOS,US,2vlzQ46jvnGp,Power,0.20,Not sure,-0.20,Not sure,-0.20
rYkvwxWAQnmx,2025-03-12T16:13:02+00:00,Hispanic/Latino,Male,34,iOS,US,rYkvwxWAQnmx,It means currency that can used for buying and trading goods,0.00,Having more of it,0.50,Don’t spend so much of it,-0.50
PLlXY0PxO7pv,2025-03-12T16:14:18+00:00,Hispanic/Latino,Male,30,iOS,US,PLlXY0PxO7pv,Means I can not starve to desth,-0.40,Being single,-0.10,Not going out,-0.70
G0lA6Qoyw7Pj,2025-03-12T16:15:23+00:00,Hispanic/Latino,Female,49,Android,US,G0lA6Qoyw7Pj,To me money is a means to an end. It's necessary to experience security and freedom.,-0.10,Maintain a strict budget makes it easier to manage money.,0.80,Buying from stores that offer everyday low prices is one of my tricks to make my money last.,0.10
0xk2WaAR5nAw,2025-03-12T16:15:27+00:00,Hispanic/Latino,Female,30,iOS,US,0xk2WaAR5nAw,Is very important,0.60,Surveys,-0.10,Pay my bills,0.00
8rndNRqXm7MP,2025-03-12T16:15:36+00:00,Hispanic/Latino,Female,37,iOS,US,8rndNRqXm7MP,Is very importante,0.70,Surveys,-0.10,Pay my bills,0.00
MqkKd5aXvn91,2025-03-12T16:17:55+00:00,Hispanic/Latino,Male,45,iOS,US,MqkKd5aXvn91,Paying bills on time security,0.40,Having enough to manage,0.30,Extra jobs,0.40
XOlEjvM3Y7gp,2025-03-12T16:20:16+00:00,Hispanic/Latino,Male,24,Android,US,XOlEjvM3Y7gp,It means the currency necessary to buy both important and leisurely things.,0.10,Organizing money by types of things to buy and pay for.,0.50,Storing it in things to gain interest.,0.00
XOlEj8KJA7gp,2025-03-12T16:21:07+00:00,Hispanic/Latino,Female,51,iOS,US,XOlEj8KJA7gp,An instrument to get your necessities and sometimes luxury items,0.10,Having few accounts,-0.10,Don’t cave in to temptation,-0.60
2OkaL9KP67am,2025-03-12T16:21:09+00:00,Hispanic/Latino,Female,32,iOS,US,2OkaL9KP67am,It’s something to sustain your lifestyle,0.60,By not being an overspender,-0.60,To save and budget my spending,0.00
Bp7PDgW8p72x,2025-03-12T16:21:48+00:00,Hispanic/Latino,Female,39,Android,US,Bp7PDgW8p72x,Something to but things we need.,0.00,Having a budget,0.00,Always  have a list .,0.70
aJnWmNq4J7Db,2025-03-12T16:22:48+00:00,Hispanic/Latino,Female,17,Android,US,aJnWmNq4J7Db,Just something to get important things for,0.20,Idk; I guess getting things that I need and putting aside some to savw,-0.10,Always save a good amount of it each time I get money,0.90
JGnJV8pdJnbx,2025-03-12T16:24:02+00:00,Hispanic/Latino,Female,36,Android,US,JGnJV8pdJnbx,Freedom; independence; peace of mind,0.70,Apps; spreadsheet; having a clear understanding of my Needs vs. my Wants.,0.50,Thrifting; meal plan; eating at home; stacking errands; loyalty programs; family vs individual plans or memberships,0.20
qwneWZva375r,2025-03-12T16:24:39+00:00,Hispanic/Latino,Female,25,iOS,US,qwneWZva375r,Happiness,0.90,Saving,0.60,Saving up,0.40
XQnwRj8y3kP2,2025-03-12T16:25:56+00:00,Hispanic/Latino,Male,24,Android,US,XQnwRj8y3kP2,The means to aqcuire necessities in life.,0.00,Discipline and taking the time to understand my personal budget,0.90,Not spending on things I don't need. Eating at home and not having subscriptions go a long way,-0.30
6KnNV61z6nW2,2025-03-12T16:27:17+00:00,Hispanic/Latino,Female,64,Android,US,6KnNV61z6nW2,It something that you need if you don't have any money you can't not keep up with your bills and things that you need,-0.80,Save as much as you can't and only buy the important thing you need,0.70,Buy cheap stuff,-0.10
MJkGKpPmdkbx,2025-03-12T16:27:41+00:00,Hispanic/Latino,Male,24,iOS,US,MJkGKpPmdkbx,Hey,0.20,Get,0.30,Hey,0.20
wNkoZxr6g7BL,2025-03-12T16:28:01+00:00,Hispanic/Latino,Female,40,iOS,US,wNkoZxr6g7BL,Stability for my family,0.90,My wife handles all of thar,0.10,My wife budgets very closely,0.30
Xgl59By4Bl8Q,2025-03-12T16:28:07+00:00,Hispanic/Latino,Female,42,iOS,US,Xgl59By4Bl8Q,A means to pay bills,0.00,Not spending so much,-0.40,Stop over spending,-0.30
G0lA6YK6m7Pj,2025-03-12T16:28:13+00:00,Hispanic/Latino,Male,50,iOS,US,G0lA6YK6m7Pj,Security,0.30,Time,-0.20,Coupons,0.20
qVlp941J67A5,2025-03-12T16:28:17+00:00,Hispanic/Latino,Female,54,iOS,US,qVlp941J67A5,Freedom,0.30,Morning right now,0.00,Nothing ia working,-0.70
aOkQbq81wn4y,2025-03-12T16:28:30+00:00,Hispanic/Latino,Female,42,iOS,US,aOkQbq81wn4y,It means you’ve been working hard.,0.30,Not spending it on everything,-0.50,Keeping the cash hidden,0.10
2rlrjprdRl8W,2025-03-12T16:28:44+00:00,Hispanic/Latino,Female,42,iOS,US,2rlrjprdRl8W,Money is just a piece of paper it doesn’t have any meaning to me,-0.80,Not spending on things I don’t need,-0.50,Spending on things I need only,-0.10
G0lA6YbzR7Pj,2025-03-12T16:28:45+00:00,Hispanic/Latino,Male,44,Android,US,G0lA6YbzR7Pj,Money means having funds to buy thing and pay bills,0.00,Microsoft money makes it easy.,0.90,Not buy anything helps,-0.70
2vlz32bGy7Gp,2025-03-12T16:29:07+00:00,Hispanic/Latino,Male,56,iOS,US,2vlz32bGy7Gp,Money is simply a tool used to function in life; not a status symbol and not used to bring happiness,-0.70,Having strict discipline; making sure you budget and not be impulsive,-0.10,Do I really need that item? Are there bills that need to be paid first what are my priorities?,-0.60
PYl83aJ8rnW1,2025-03-12T16:29:15+00:00,Hispanic/Latino,Male,34,Android,US,PYl83aJ8rnW1,It means ease of life and being able to support my family,0.90,Budgeting and writing out my liabilities and assets,0.00,Less spending on discretionary,0.00
aOkQbeDpdn4y,2025-03-12T16:29:19+00:00,Hispanic/Latino,Male,44,iOS,US,aOkQbeDpdn4y,Being able to buy things and have freedom,0.80,Spending less,0.20,Not spending it,-0.70
qVlp9N5ab7A5,2025-03-12T16:29:35+00:00,Hispanic/Latino,Female,41,Android,US,qVlp9N5ab7A5,Freedom; to do whatever you want happiness comes,0.80,Having an unlimited amount of money; honestly an advisor offering advise on how to administer,0.70,Budgeting on purchases on essential things,0.20
p0lOG2WNVl8N,2025-03-12T16:30:08+00:00,Hispanic/Latino,Female,23,iOS,US,p0lOG2WNVl8N,freedom,0.30,Budgeting,0.00,Accounting how much money i can spend every month on extras,0.80
gK7y634BKkae,2025-03-12T16:30:27+00:00,Hispanic/Latino,Female,31,Android,US,gK7y634BKkae,Being able to afford a future,0.80,Remembering my goals,0.10,Remembering my goals,0.10
P2nY9GE80n90,2025-03-12T16:30:28+00:00,Hispanic/Latino,Male,25,iOS,US,P2nY9GE80n90,It means wealth and power,0.40,Having a budget,0.00,Keep track of expenses,0.30
MqkKEVyzXl91,2025-03-12T16:31:46+00:00,Hispanic/Latino,Female,47,Android,US,MqkKEVyzXl91,A way to survive and enjoy the extras in life,0.70,Having multiple accounts and being able to see it in real time,0.50,Nothing. I just did gig work and played online casinos,-0.30
RE7Lz9gB4n0v,2025-03-12T16:32:39+00:00,Hispanic/Latino,Male,27,iOS,US,RE7Lz9gB4n0v,It’s a way to get what I need,0.70,My spreadsheets,0.30,Saving my income immediately when I receive it,0.70
2OkaLm20p7am,2025-03-12T16:34:05+00:00,Hispanic/Latino,Male,30,Android,US,2OkaLm20p7am,Financial and long term life security,0.60,Establishing a budget and monitoring expenses,0.00,Paying off my credit card after every transaction,0.00
gK7y66gZzkae,2025-03-12T16:34:07+00:00,Hispanic/Latino,Female,48,iOS,US,gK7y66gZzkae,It is a necessity to buy goods like food and water.,0.20,I try to write my expenses down.,-0.10,I buy things in bulk and on sale.,0.50
RE7LZZB4An0v,2025-03-12T16:34:12+00:00,Hispanic/Latino,Male,39,Android,US,RE7LZZB4An0v,Security,0.30,A budget plan,0.00,Avoiding the urge to spend spontaneously,-0.60
3gkxNxW66lWq,2025-03-12T16:35:11+00:00,Hispanic/Latino,Female,50,iOS,US,3gkxNxW66lWq,A way to live a comfortable life,0.70,Banking apps,0.00,Coupons and sales,0.10
0xk2dxx8QlAw,2025-03-12T16:35:31+00:00,Hispanic/Latino,Male,35,iOS,US,0xk2dxx8QlAw,It means something to invest with,0.50,I would say having a financial advisor,0.30,I would say looking for sales and deals,0.30
41nqvo95vlXq,2025-03-12T16:35:32+00:00,Hispanic/Latino,Male,35,iOS,US,41nqvo95vlXq,Money means freedom to do things and be stable,0.50,Understanding where my money is going and actively not spending when I know I have other things around me.,-0.20,Saving money by not going out to eat in cooking at home,0.80
aJnWx254KlDb,2025-03-12T16:35:53+00:00,Hispanic/Latino,Male,24,iOS,US,aJnWx254KlDb,meaningless numbers,-0.80,budgeting apps and mindfulness,0.00,cutting out habits,0.00
v6n3d0e5Gl3Z,2025-03-12T16:35:55+00:00,Hispanic/Latino,Male,38,Android,US,v6n3d0e5Gl3Z,Stability in the household,0.70,Always budgeting on every personal expense,-0.40,Saving as much and spending when you know you'll get paid afterwards,0.90
apkDZ9OM8l3E,2025-03-12T16:36:07+00:00,Hispanic/Latino,Female,34,Android,US,apkDZ9OM8l3E,It means stability,0.10,Saving,0.60,Buying cheaper brands,-0.30
rYkvNV4z2kmx,2025-03-12T16:36:48+00:00,Hispanic/Latino,Female,62,iOS,US,rYkvNV4z2kmx,To my habitos,0.00,My control to by to,0.00,To money ban,-0.70
Bp7P3B3ROl2x,2025-03-12T16:39:02+00:00,Hispanic/Latino,Female,27,Android,US,Bp7P3B3ROl2x,freedom to do and go wherever I want,0.90,having a planner to write everything down,0.00,savings account!,0.60
aOkQRxGadn4y,2025-03-12T16:40:06+00:00,Hispanic/Latino,Female,69,iOS,US,aOkQRxGadn4y,Freedom to do fun activities,0.80,A plan,0.00,Put it in envelopes,-0.10
aJnWx5e6OlDb,2025-03-12T16:42:04+00:00,Hispanic/Latino,Female,42,Android,US,aJnWx5e6OlDb,Having money for my family,0.50,Saving money and only buying what I needl,0.70,Only using it for what I need,0.20
2vlzQJLpBnGp,2025-03-12T16:42:06+00:00,Hispanic/Latino,Female,51,Android,US,2vlzQJLpBnGp,Money is a way for me to get things I need and that I want,0.30,It makes it easy just to easily see how much money I have and where it's all going,0.80,I always look for coupons and apps that help me save money,0.90
Xgl59Rwy5l8Q,2025-03-12T16:42:11+00:00,Hispanic/Latino,Female,37,Android,US,Xgl59Rwy5l8Q,It's a necessity to live,0.70,Having a set Budget,0.10,Not going out as much,-0.20
JGnJVAwGJnbx,2025-03-12T16:48:21+00:00,Hispanic/Latino,Male,24,iOS,US,JGnJVAwGJnbx,It means nothing,-0.70,Having it available,0.10,Nothing. I live in America.,-0.30
WJkgoPpRZkPd,2025-03-12T16:48:38+00:00,Hispanic/Latino,Male,29,iOS,US,WJkgoPpRZkPd,Mean survive in a spencil word,-0.40,Get habits to don apend more than you win,-0.20,Write all spends every day and don’t spend more than I win,0.00
rYkvNVobdkmx,2025-03-12T16:51:56+00:00,Hispanic/Latino,Male,46,iOS,US,rYkvNVobdkmx,Money is evil.,-0.80,Not spending it on nonsense,-0.10,Have a bank account and lock up the debit card,-0.30
WJkgBZZrY7Pd,2025-03-12T16:53:01+00:00,Hispanic/Latino,Female,53,Android,US,WJkgBZZrY7Pd,Security safety,0.50,Having lots,0.50,Live frugally,0.60
apkDZ9yerl3E,2025-03-12T17:00:29+00:00,Hispanic/Latino,Male,35,iOS,US,apkDZ9yerl3E,A means to support myself,0.40,Apps and making awareness of your finances a stating point,0.40,Buying stuff that you absolutely need,0.80
GxkV96MEK7bN,2025-03-12T17:31:42+00:00,Hispanic/Latino,Male,39,Android,US,GxkV96MEK7bN,Being able to survive and eat,0.50,Writing down bills and expenses,0.00,Only spend when I need to,0.30
MjnZPDe9A7wP,2025-03-12T17:58:32+00:00,Hispanic/Latino,Male,39,Android,US,MjnZPDe9A7wP,A way to sustain and maintain myself,0.30,Being able to budget my living expenses,0.80,Eat more at home and buy groceries when on special deals,0.60
Xgl5o9G6vk8Q,2025-03-12T18:18:29+00:00,Hispanic/Latino,Male,37,Android,US,Xgl5o9G6vk8Q,A terrible necessity,-0.60,I use my pc to manage my money,0.00,I write down everything,0.10
eLnB85pMz7o8,2025-03-12T18:45:07+00:00,Hispanic/Latino,Female,37,Android,US,eLnB85pMz7o8,Survival,0.10,Budgeting and making sure I don't go over what I have,-0.30,Well budgeting helps lol,0.90
MjnZPNYbR7wP,2025-03-12T18:49:59+00:00,Hispanic/Latino,Male,45,Android,US,MjnZPNYbR7wP,It means security and health; and the ability to afford personal products.,0.40,Using a calendar and reviewing statement balances.,-0.10,Spending less on eating out.,0.50
JGnJVGAG5nbx,2025-03-12T18:50:46+00:00,Hispanic/Latino,Female,47,Android,US,JGnJVGAG5nbx,It's what I need to live,0.90,Saving for something specific,0.30,Counting up everything I save,-0.30
rYkvwErdxnmx,2025-03-12T19:11:58+00:00,Hispanic/Latino,Female,24,Android,US,rYkvwErdxnmx,Freedom,0.30,Keeping a budget,0.00,Putting it in a savings account,0.30
wNko4v92rnBL,2025-03-12T19:50:34+00:00,Hispanic/Latino,Female,40,Android,US,wNko4v92rnBL,Income;source; funding ;stability the ability to pay bills,0.30,Having it and not lacking,0.70,Having it and not spending a lot of it saving it,0.50
