User ID, Created,Age range,Gender, Device type, Region, Respondent ID,Q(1) What does money mean to you?,Q(1) Sentiment [Question: What does money mean to you?],Q(2) What makes managing your money easier?,Q(2) Sentiment [Question: What makes managing your money easier?],Q(3) What tricks help you make your money last?,Q(3) Sentiment [Question: What tricks help you make your money last?]
rYkvwDybxnmx,2025-03-12T03:04:21+00:00,34,Female,iOS,US,rYkvwDybxnmx,A means of living,0.00,Budgeting,0.00,Coupons and discounts,0.50
wNko4MVPxnBL,2025-03-12T03:04:23+00:00,34,Female,iOS,US,wNko4MVPxnBL,Life,0.60,Having money,0.50,Not browsing,-0.80
rYkvwDrE6nmx,2025-03-12T03:04:38+00:00,30,Male,iOS,US,rYkvwDrE6nmx,It means something that lets us live everyday,0.60,I save it until I need it.,0.10,I don’t pay too much attention to things I don’t need,-0.60
rYkvwD5Vxnmx,2025-03-12T03:04:37+00:00,30,Male,Android,US,rYkvwD5Vxnmx,Safety,0.30,Having more of it,0.50,Thinking about money as time,-0.20
v6n3xbZeWl3Z,2025-03-12T03:04:54+00:00,35,Female,iOS,US,v6n3xbZeWl3Z,It means security.   Less stress about where basic needs will come from,0.30,Well it’s easier that we don’t have a lot of it to manage,-0.10,I’m incredibly frugal and rarely buy wants,-0.80
Zz7brXAdM7gY,2025-03-12T03:05:07+00:00,34,Male,iOS,US,Zz7brXAdM7gY,A currency used to control people,-0.10,Tracking apps,0.10,Spreading out payments,-0.30
MqkKdYzvMn91,2025-03-12T03:05:29+00:00,33,Male,iOS,US,MqkKdYzvMn91,It allows you to exchange for goods and services,0.40,Bank applications,0.10,Find cheaper options,-0.30
XQnwYbax37P2,2025-03-12T03:05:47+00:00,35,Male,iOS,US,XQnwYbax37P2,Money to me means security,0.00,Apps and online banking make managing my money easier,0.80,Budgeting helps make my money last,0.90
aOkQRYVvAn4y,2025-03-12T03:06:44+00:00,33,Female,iOS,US,aOkQRYVvAn4y,Freedom,0.30,A good budget tracking system,0.80,Really pausing before spending money,-0.80
GxkV9vd4r7bN,2025-03-12T03:06:59+00:00,33,Female,iOS,US,GxkV9vd4r7bN,Money is something important. I don’t idolize it; but we need money to survive.,-0.10,Planing where to allocate my money and budgeting.,0.10,Budgeting and looking for deals on food and clothing.,0.00
MjnZPj5K87wP,2025-03-12T03:07:17+00:00,33,Female,iOS,US,MjnZPj5K87wP,Security,0.30,Apps,0.20,Paying bills first,0.00
1GnjBzrQ2nDA,2025-03-12T03:07:58+00:00,30,Male,iOS,US,1GnjBzrQ2nDA,It gives the ability to do the things in life I want to do.,0.80,Separating it into categories and putting certain amounts towards those separations each pay period.,-0.30,Spending less on lunch and limiting large purchases.,0.00
J0nmrzNexlWr,2025-03-12T03:08:49+00:00,33,Female,Android,US,J0nmrzNexlWr,Being able to live day by day and support my family needs and being financially stable,0.90,Being able to budget your money,0.40,Don't over spend,-0.40
WKn02rByR7vA,2025-03-12T03:09:20+00:00,34,Male,iOS,US,WKn02rByR7vA,f,-0.20,f,-0.20,j,0.00
XQnwYQjG37P2,2025-03-12T03:09:27+00:00,32,Female,iOS,US,XQnwYQjG37P2,It’s important,0.60,By saving money,0.90,I don’t know,-0.20
8rndNRqXm7MP,2025-03-12T03:09:32+00:00,37,Female,iOS,US,8rndNRqXm7MP,Is very complique,0.40,Surveys,-0.10,Pay my bills,0.00
eLnBqaD46ko8,2025-03-12T03:09:36+00:00,36,Male,iOS,US,eLnBqaD46ko8,Noting,-0.10,Not sure,-0.20,Ok,0.70
XOlEjzD5G7gp,2025-03-12T03:09:42+00:00,32,Male,Android,US,XOlEjzD5G7gp,A means to live and enjoy,0.80,A plan and focus,0.00,A plan and focus,0.00
