User ID, Created,Employment status,Employer size,Gender,Age range, Device type, Region, Respondent ID,Q(1) What does money mean for you and your business?,Q(1) Sentiment [Question: What does money mean for you and your business?],Q(2) What makes handling money easier for you?,Q(2) Sentiment [Question: What makes handling money easier for you?],Q(3) Any go-to tricks to stretch your cash?,Q(3) Sentiment [Question: Any go-to tricks to stretch your cash?]
XQnwYbV8L7P2,2025-03-14T01:14:29+00:00,Self-employed,10 - 99,Female,47,Android,US,XQnwYbV8L7P2,Business,0.10,Yes,0.60,Yes,0.60
aOkQRZR0wn4y,2025-03-14T01:15:19+00:00,Self-employed,1 - 9,Male,44,Android,US,aOkQRZR0wn4y,Prgress,0.30,Saving,0.60,Save,0.00
WJkgBmxyB7Pd,2025-03-14T01:16:20+00:00,Self-employed,1 - 9,Male,57,iOS,US,WJkgBmxyB7Pd,It means me and my business can survive,0.20,Credit cards,0.00,Don’t splurge,-0.70
2OkaGbKBPlam,2025-03-14T01:16:28+00:00,Self-employed,10 - 99,Female,35,Android,US,2OkaGbKBPlam,For me and my business money means being able to attract more customers and being able to make more money,0.90,What makes handling money easier for me is technology like apps and money managing services.,0.90,Some go to tricks to stretch my cash is investments and payment plans.,-0.10
3gkxNOOM2lWq,2025-03-14T01:16:39+00:00,Self-employed,10 - 99,Male,26,iOS,US,3gkxNOOM2lWq,No,-0.50,Yes,0.60,Not sure,-0.20
41nqvJW3wlXq,2025-03-14T01:16:49+00:00,Self-employed,10 - 99,Female,25,iOS,US,41nqvJW3wlXq,I don’t have a business,-0.70,Nothing,-0.60,No,-0.50
G0lA8xdbjnPj,2025-03-14T01:16:49+00:00,Self-employed,1 - 9,Female,40,iOS,US,G0lA8xdbjnPj,Success,0.80,Advice,0.10,Not really,-0.70
PLlXY2QP67pv,2025-03-14T01:17:29+00:00,Self-employed,10 - 99,Female,40,iOS,US,PLlXY2QP67pv,Nq,0.40,Na,0.00,Na,0.00
P2nY2pZ8Ll90,2025-03-14T01:17:30+00:00,Self-employed,1 - 9,Male,44,Android,US,P2nY2pZ8Ll90,Money means financial freedom.,0.00,Being disciplined.,0.20,Use coupons. Live below your means.,-0.20
p0lOGbvdZl8N,2025-03-14T01:17:49+00:00,Self-employed,1 - 9,Male,47,iOS,US,p0lOGbvdZl8N,It is primarily used to plan for retirement at my age.,-0.10,I have a good knowledge of investments.,0.60,Stick to a budget and don’t overspend on things you don’t need.,-0.50
aJnWx5rXOlDb,2025-03-14T01:17:49+00:00,Self-employed,10 - 99,Male,16,Android,US,aJnWx5rXOlDb,A way to grow,0.40,Having trusted people,0.90,Using credit lines,-0.30
JGnJV2ZLJnbx,2025-03-14T01:18:13+00:00,Self-employed,1 - 9,Male,33,Android,US,JGnJV2ZLJnbx,freedom and growth,0.40,setting goals,0.00,investing,0.10
1GnjB495DnDA,2025-03-14T01:18:38+00:00,Self-employed,1 - 9,Female,68,iOS,US,1GnjB495DnDA,It mean independence personal and professional,0.60,I have lived a long life and have few wants now,0.40,Use what you have before buying more,0.10
1GnjBP1KKnDA,2025-03-14T01:18:50+00:00,Self-employed,10 - 99,Male,34,Android,US,1GnjBP1KKnDA,It would allow me to expand,-0.10,I work with numbers so I am comfortable counting and making change,0.70,No,-0.50
0xk2W89qYnAw,2025-03-14T01:19:21+00:00,Employed; Self-employed; Part-time,10 - 99,Male,16,Android,US,0xk2W89qYnAw,all things,0.50,not sure,-0.20,may be,0.00
J0nmrMyW6lWr,2025-03-14T01:19:30+00:00,Self-employed,10 - 99,Male,49,Android,US,J0nmrMyW6lWr,It's made to a matter survival,0.00,Security and privacy,0.70,Just doing little side hustles to help promote,0.00
p6n1jDgJ1lD2,2025-03-14T01:29:38+00:00,Self-employed,1 - 9,Female,50,iOS,US,p6n1jDgJ1lD2,Nothing. I married Rich,0.00,Nothing it was hell,-0.80,No. I spend my money wisely I don’t have an issue,-0.10
PYl83aZ3RnW1,2025-03-14T01:30:34+00:00,Self-employed,10 - 99,Male,47,iOS,US,PYl83aZ3RnW1,It allows me to keep all of working to do our good work,0.90,Electronic transfers,0.10,Don’t go shopping because you tend to spend if you shop,-0.70
v6n3x24mQl3Z,2025-03-14T01:32:14+00:00,Self-employed,10 - 99,Male,42,Android,US,v6n3x24mQl3Z,It means a whole lot,0.20,And it's easy to do if you just budget and accurately look at your financial statements,0.90,I would say I would just stop eating out and spending unnecessary money,-0.80
Bp7PDxNoO72x,2025-03-14T01:32:17+00:00,Self-employed,1 - 9,Female,46,Android,US,Bp7PDxNoO72x,Expansion,0.10,Software,0.00,None,-0.40
RE7LZxoZDn0v,2025-03-14T01:32:38+00:00,Self-employed,10 - 99,Male,27,Android,US,RE7LZxoZDn0v,Stability.,0.30,Financial advisor.,0.00,Practice restraint.,-0.20
